val	data0	data1	data2	data3	data4	data5	data6	data7	data8	data9	data10	data11	data12	data13	data14	data15	data16	data17	data18	data19	data20	data21	data22	data23	data24	data25	data26	data27	data28	data29	data30	data31	data32	data33	data34	data35	data36	data37	data38	data39	data40	data41	data42	data43	data44	data45	data46	data47	data48	data49	data50	data51	data52	data53	data54	data55	data56	data57	data58	data59	data60	data61	data62	data63	data64	data65	data66	data67	data68	data69	
d	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	
class
l3	30	51	22	50	21	28	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	4	6	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l9	42	67	21	52	25	31	2	2	1	2	2	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	4	1	0	0	0	0	0	0	0	0	2	3	3	3	2	2	1	1	2	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l0	47	71	14	42	24	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l1	50	71	21	55	21	34	0	0	0	0	0	0	0	0	5	6	0	0	0	0	0	0	2	1	2	2	2	2	2	2	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	7	4	0	1	1	2	1	1	1	2	2	2	2	1	1	0	0	0	0
l2	32	70	23	55	38	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2
l2	49	71	21	55	22	34	3	2	2	3	3	3	2	2	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	7	1	0	0	0	0	0	0	0	0	0	3	5	8	3	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	2	1	1	1	1	0
l0	49	71	12	42	22	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l9	50	79	21	53	29	32	2	2	2	2	2	2	3	3	0	0	0	0	0	0	0	0	3	0	0	1	1	1	2	5	0	0	0	0	0	0	0	0	1	3	4	3	2	2	2	1	1	2	2	2	2	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l0	41	72	22	42	31	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l2	42	88	21	52	46	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
