val	data0	data1	data2	data3	data4	data5	data6	data7	data8	data9	data10	data11	data12	data13	data14	data15	data16	data17	data18	data19	data20	data21	data22	data23	data24	data25	data26	data27	data28	data29	data30	data31	data32	data33	data34	data35	data36	data37	data38	data39	data40	data41	data42	data43	data44	data45	data46	data47	data48	data49	data50	data51	data52	data53	data54	data55	data56	data57	data58	data59	data60	data61	data62	data63	data64	data65	data66	
d	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	
class
u1	47	71	24	0	0	0	0	0	0	0	0	0	0	0	6	4	1	1	1	0	0	0	0	0	0	0	0	0	0	0	2	3	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	2	1	1	2	2	1	3	2	2	2	2	0	0
u3	45	76	31	0	0	0	0	0	2	7	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	1	2	2	3	3	6	4	1	2	1	0	2	3	2	1	1	1	2	2	1	0	0	0	0	0	0	0	0	0	1	2	3	2	1	2	2	3	4	3	1	5	2
u3	43	72	29	0	0	0	0	0	0	4	5	3	2	2	4	3	0	0	0	0	0	0	0	0	0	0	0	2	3	3	2	2	1	2	1	0	0	0	2	2	2	2	1	0	0	0	0	0	0	0	0	0	0	2	3	2	2	2	3	2	3	2	2	2	3	2	0
u0	50	71	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
u0	48	78	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
u1	30	57	27	0	0	0	0	0	0	0	0	0	0	0	0	2	4	1	1	0	0	0	0	0	0	0	0	0	0	0	1	4	5	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	2	2	2	3	2	2	3	2	0	0
u0	39	66	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
u1	50	72	22	0	0	0	0	0	0	0	0	0	0	0	0	5	7	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	2	2	2	2	2	2	3	2	1	2	1	0	0
u4	47	70	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	1	1	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	3
u4	49	74	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	5
u1	36	80	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	3	3	2	2	0
u4	37	74	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	3
u3	60	85	25	0	0	0	6	6	2	2	2	4	2	0	0	0	0	0	0	0	0	0	1	2	2	3	4	3	1	2	1	1	1	1	1	0	0	4	5	3	2	2	2	2	3	3	2	2	0	0	0	0	0	0	0	1	1	2	2	1	0	0	0	1	3	2	4
u1	49	79	30	0	0	0	0	0	0	6	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	2	2	1	2	1	2	1	2	2	2	2	2	2	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	2	3	3	2	0
u3	52	79	27	0	0	0	0	0	3	7	3	2	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	4	3	2	2	1	1	0	2	2	2	2	1	2	2	0	0	0	0	0	0	0	0	0	1	3	2	1	1	1	2	3	3	3	2	3	3	2	0
u1	43	70	27	0	0	0	0	0	0	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	3	2	0	0
u3	41	76	35	0	0	0	3	4	1	1	2	2	2	2	0	0	0	0	0	0	0	0	1	3	3	1	2	7	5	1	2	1	1	0	1	0	0	0	0	4	3	2	2	2	2	2	1	2	1	0	0	0	0	0	0	0	1	3	2	2	2	2	1	1	2	4	4
u4	39	83	44	0	0	0	0	0	0	0	0	1	1	1	1	1	2	1	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	3	3	3	0	0	0	0	0	0	0	0
u1	34	64	30	0	0	0	0	0	0	0	5	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	3	2	2	1	2	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	3	2	1	2	3	3	1	0
u1	42	74	32	0	0	0	0	0	0	0	5	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	2	2	2	1	2	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	3	3	2	3	3	3	1	0
u3	46	77	31	0	0	0	0	0	0	5	6	1	1	2	5	0	0	0	0	0	0	0	0	0	0	0	0	3	3	3	6	3	2	1	2	0	0	2	2	2	2	2	1	0	0	0	0	0	0	0	0	0	0	3	2	1	1	1	1	2	4	5	3	2	3	3	1
u1	59	86	27	0	0	0	0	0	0	2	5	3	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	4	3	2	2	2	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	2	2	3	2	3	2	3	2	0
u1	40	70	30	0	0	0	0	0	0	0	0	6	8	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	2	2	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	3	2	2	2	2	2	3	3	2	2	2	2	2	1
u4	49	71	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	2	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	3	3	3	3	0	0
u2	50	76	26	0	0	0	0	0	0	0	0	0	0	0	2	3	1	0	1	0	0	0	0	0	0	0	0	0	0	2	2	3	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	2	1	2	2	2	3	2	1	0	2
u1	52	78	26	0	0	0	0	0	0	0	0	2	3	4	2	2	2	2	0	0	0	0	0	0	0	0	0	1	3	4	2	2	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	2	1	1	2	3	3	3	2	3	1	2	4	2	0
u1	45	79	34	0	0	0	0	3	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	1	2	1	2	0	2	2	2	1	1	1	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	2	3	3	1
u1	43	70	27	0	0	0	0	0	0	0	0	0	0	1	3	1	1	0	0	0	0	0	0	0	0	0	0	0	3	4	2	1	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	2	2	2	2	2	3	2	2	0
u12	38	67	29	0	0	0	0	0	0	0	0	0	0	0	2	3	3	1	0	0	0	0	0	0	0	0	0	0	0	2	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	3	1	1	1	1	2	2	0	0	0
u13	40	72	32	0	0	0	0	0	0	1	2	1	1	2	1	1	1	1	3	0	0	0	0	0	0	2	3	2	2	2	2	2	2	4	5	0	0	0	0	0	0	1	2	2	2	1	0	0	0	0	0	0	0	0	0	6	4	1	0	0	6	4	5	5	1	0	0
u12	41	67	26	0	0	0	0	0	0	0	0	0	0	0	1	1	2	1	0	0	0	0	0	0	0	0	0	0	1	5	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	1	1	1	1	2	1	1	2
